X,NACA 0020-Re=   1e+05-Alpha=12.00-NCrit=  9.0-XTrTop=0.174-XtrBot=1.000, , 
            1,    0.07854727, , 
    0.9928006,    0.07760578, , 
    0.9798895,    0.07622174, , 
    0.9635184,    0.07482145, , 
    0.9445469,    0.07322912, , 
    0.9234998,     0.0676568, , 
    0.9007495,    0.05763612, , 
     0.876583,    0.04310542, , 
    0.8512328,    0.02340955, , 
    0.8248944,  -0.001934721, , 
    0.7977362,   -0.03318757, , 
    0.7699063,   -0.07035059, , 
    0.7415373,    -0.1131647, , 
    0.7127487,    -0.1611533, , 
      0.68365,    -0.2137079, , 
    0.6543419,    -0.2701927, , 
    0.6249182,    -0.3300396, , 
    0.5954661,    -0.3928096, , 
    0.5660677,    -0.4582131, , 
    0.5368005,    -0.5260963, , 
    0.5077378,    -0.5964074, , 
    0.4789491,    -0.6691553, , 
    0.4505011,    -0.7443659, , 
    0.4224571,    -0.8220395, , 
    0.3948782,    -0.9021038, , 
    0.3678229,    -0.9843568, , 
    0.3413476,     -1.068394, , 
    0.3155065,     -1.153535, , 
    0.2903524,     -1.238923, , 
    0.2659361,     -1.324633, , 
    0.2423068,     -1.417345, , 
    0.2195125,     -1.547228, , 
    0.1975998,     -1.814122, , 
    0.1766138,       -2.3374, , 
    0.1565988,     -2.441619, , 
    0.1375977,     -2.474949, , 
    0.1196525,      -2.51163, , 
    0.1028043,     -2.558456, , 
   0.08709309,     -2.625036, , 
   0.07255816,     -2.723727, , 
   0.05923792,     -2.860994, , 
   0.04717001,     -3.036269, , 
   0.03639132,     -3.226093, , 
   0.02693808,     -3.397623, , 
   0.01884581,     -3.513805, , 
   0.01214942,     -3.522899, , 
  0.006883198,       -3.3549, , 
  0.003080868,     -2.941223, , 
 0.0007755917,     -2.265341, , 
            0,     -1.431398, , 
 0.0007755917,    -0.6296405, , 
  0.003080868,    0.05495637, , 
  0.006883198,     0.5439554, , 
   0.01214942,     0.8361314, , 
   0.01884581,      0.969694, , 
   0.02693808,     0.9995766, , 
   0.03639132,      0.967001, , 
   0.04717001,     0.9014498, , 
   0.05923792,     0.8197878, , 
   0.07255816,      0.733619, , 
   0.08709309,     0.6478135, , 
    0.1028043,     0.5665236, , 
    0.1196525,     0.4908151, , 
    0.1375977,     0.4217355, , 
    0.1565988,     0.3593888, , 
    0.1766138,     0.3037101, , 
    0.1975998,     0.2544256, , 
    0.2195125,     0.2111647, , 
    0.2423068,     0.1735023, , 
    0.2659361,     0.1409863, , 
    0.2903524,     0.1131564, , 
    0.3155065,    0.08955593, , 
    0.3413476,    0.06974053, , 
    0.3678229,    0.05328472, , 
    0.3948782,    0.03978681, , 
    0.4224571,    0.02887279, , 
    0.4505011,    0.02019928, , 
    0.4789491,    0.01345577, , 
    0.5077378,   0.008366278, , 
    0.5368005,   0.004690422, , 
    0.5660677,   0.002224068, , 
    0.5954661,  0.0007996134, , 
    0.6249182,  0.0002858831, , 
    0.6543419,  0.0005877929, , 
      0.68365,   0.001645541, , 
    0.7127487,    0.00343336, , 
    0.7415373,   0.005957288, , 
    0.7699063,   0.009251211, , 
    0.7977362,       0.01337, , 
    0.8248944,    0.01837743, , 
    0.8512328,    0.02432515, , 
     0.876583,    0.03121937, , 
    0.9007495,    0.03897264, , 
    0.9234998,    0.04734848, , 
    0.9445469,    0.05591658, , 
    0.9635184,    0.06408837, , 
    0.9798895,    0.07113428, , 
    0.9928006,    0.07659157, , 
            1,    0.07854727, , 

